SMILES,inchi_key,MolWt,NumHAcceptors,NumHDonors,NumRotatableBonds,MolLogP
CSCCC(N)C(=O)O,FFEARJCKVFRZRR-UHFFFAOYSA-N,149.22,3,2,4,0.15
CC(C)C(N)C(=O)O,KZSNJWFQEVHDMF-UHFFFAOYSA-N,117.15,2,2,2,0.05
CC(C)CC(N)C(=O)O,ROHFNLRQFUQHCH-UHFFFAOYSA-N,131.18,2,2,3,0.44
NC(CCO)C(=O)O,UKAUYVFTDYCKQA-UHFFFAOYSA-N,119.12,3,3,3,-1.22
NC(Cc1ccc(O)cc1)C(=O)O,OUYCCCASQSFEME-UHFFFAOYSA-N,181.19,3,3,3,0.35
NC(Cc1c[nH]c2ccccc12)C(=O)O,QIVBCDIJIAJPQS-UHFFFAOYSA-N,204.23,2,3,3,1.12
NC(Cc1c[nH]cn1)C(=O)O,HNDVDQJCIGZPNO-UHFFFAOYSA-N,155.16,3,3,3,-0.64
NC(Cc1ccccc1)C(=O)O,COLNVLDHVKWLRT-UHFFFAOYSA-N,165.19,2,2,3,0.64
NC(CO)C(=O)O,MTCFGRXMJLQNBG-UHFFFAOYSA-N,105.09,3,3,2,-1.61
NC(CF)C(=O)O,UYTSRQMXRROFPU-UHFFFAOYSA-N,107.08,2,2,2,-0.63
NCCCCC(N)C(=O)O,KDXKERNSBIXSRK-UHFFFAOYSA-N,146.19,3,3,5,-0.47
N=C(N)NCCCC(N)C(=O)O,ODKSFYDXXFIFQN-UHFFFAOYSA-N,174.2,3,5,5,-1.34
CCC(C)C(N)C(=O)O,AGPKZVBTJJNPAG-UHFFFAOYSA-N,131.18,2,2,3,0.44
NC(CS)C(=O)O,XUJNEKJLAYXESH-UHFFFAOYSA-N,121.16,3,3,2,-0.67
NC(=O)CCC(N)C(=O)O,ZDXPYRJPNDTMRX-UHFFFAOYSA-N,146.15,3,3,4,-1.34
NC(Cc1ccc(O)c(O)c1)C(=O)O,WTDRDQBEARUVNC-UHFFFAOYSA-N,197.19,4,4,3,0.05
N#Cc1ccc(CC(N)C(=O)O)cc1,KWIPUXXIFQQMKN-UHFFFAOYSA-N,190.2,3,2,3,0.51
NC(Cc1ccc([N+](=O)[O-])cc1)C(=O)O,GTVVZTAFGPQSPC-UHFFFAOYSA-N,210.19,4,2,4,0.55
NC(Cc1ccc(CO)cc1)C(=O)O,OXNUZCWFCJRJSU-UHFFFAOYSA-N,195.22,3,3,4,0.13
NC(Cc1ccc(F)cc1)C(=O)O,XWHHYOYVRVGJJY-UHFFFAOYSA-N,183.18,2,2,3,0.78
NC(CCn1cccc1)C(=O)O,JQWDMUAOESFACC-UHFFFAOYSA-N,168.2,3,2,4,0.29
NC(CCn1cccn1)C(=O)O,KWAMNEICFOVNJI-UHFFFAOYSA-N,169.18,4,2,4,-0.31
NC(CCn1ccnc1)C(=O)O,RNDKANKZXDNZKY-UHFFFAOYSA-N,169.18,4,2,4,-0.31
CCN(CC)CCC(N)C(=O)O,TXJCSRZHJCNEBF-UHFFFAOYSA-N,174.24,3,2,6,0.13
C[N+](C)(C)CC(O)C(N)C(=O)O,RKNHTGDLNNBLGZ-UHFFFAOYSA-O,177.22,3,3,4,-1.53
NC(CCN1CCOCC1)C(=O)O,ONSDVFIYMCKDLR-UHFFFAOYSA-N,188.23,4,2,4,-0.88
CN1CCN(CCC(N)C(=O)O)CC1,BATMMXXKXCOKQX-UHFFFAOYSA-N,201.27,4,2,4,-0.96
NC(CCN1C(=O)CCC1=O)C(=O)O,NDRFLQIBBGFIFJ-UHFFFAOYSA-N,200.19,4,2,4,-1.06
NC(CCn1cnc2ccccc21)C(=O)O,CQVUDPOAHFIFAF-UHFFFAOYSA-N,219.24,4,2,4,0.84
CS(=O)(=O)CCC(N)C(=O)O,UCUNFLYVYCGDHP-UHFFFAOYSA-N,181.21,4,2,4,-1.17
CS(=O)CCC(N)C(=O)O,QEFRNWWLZKMPFJ-UHFFFAOYSA-N,165.21,3,2,4,-0.83
NC(CCOCCO)C(=O)O,PCAVPUDANZEGGH-UHFFFAOYSA-N,163.17,4,3,6,-1.2
NC(Cc1ccc(Cl)cc1)C(=O)O,NIGWMJHCCYYCSF-UHFFFAOYSA-N,199.64,2,2,3,1.29
NC(Cc1cccc(O)c1)C(=O)O,JZKXXXDKRQWDET-UHFFFAOYSA-N,181.19,3,3,3,0.35
NC(Cc1ccc(Br)cc1)C(=O)O,PEMUHKUIQHFMTH-UHFFFAOYSA-N,244.09,2,2,3,1.4
