SMILES,inchi_key,MolWt,NumHAcceptors,NumHDonors,NumRotatableBonds,MolLogP
O=Cc1ccc(OCc2ccccc2)c(O)c1,HUNGEAFDVLSPAM-UHFFFAOYSA-N,228.25,3,1,4,2.78
O=CC1CCCC1,VELDYOPRLMJFIK-UHFFFAOYSA-N,98.15,1,0,1,1.38
O=CC1CCCCC1,KVFDZFBHBWTVID-UHFFFAOYSA-N,112.17,1,0,1,1.77
CC(C)(C)C=O,FJJYHTVHBVXEEQ-UHFFFAOYSA-N,86.13,1,0,0,1.23
CC(C)C=O,AMIMRNSIRUDHCM-UHFFFAOYSA-N,72.11,1,0,1,0.84
CC(C)CC=O,YGHRJJRRZDOVPD-UHFFFAOYSA-N,86.13,1,0,2,1.23
CCC(C=O)CC,UNNGUFMVYQJGTD-UHFFFAOYSA-N,100.16,1,0,3,1.62
CCCCC=O,HGBOYTHUEUWSSQ-UHFFFAOYSA-N,86.13,1,0,3,1.38
O=Cc1ccc(O)c2ccccc12,LORPDGZOLAPNHP-UHFFFAOYSA-N,172.18,2,1,1,2.36
O=Cc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,OCHOSUFDGPHRJA-UHFFFAOYSA-N,243.22,4,0,4,3.2
O=CCc1ccc(F)c(Oc2ccccc2)c1,DAYZMYWMHZGBSP-UHFFFAOYSA-N,230.24,2,0,4,3.36
CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1O,DOZRDZLFLOODMB-UHFFFAOYSA-N,234.34,2,1,1,3.8
C=CCC=O,IWJMQXOBCQTQCF-UHFFFAOYSA-N,70.09,1,0,2,0.76
C=CCCC=O,QUMSUJWRUHPEEJ-UHFFFAOYSA-N,84.12,1,0,3,1.15
O=CC1=CCCC1,RALDHUZFXJKFQB-UHFFFAOYSA-N,96.13,1,0,1,1.3
CC(C)CCC=O,JGEGJYXHCFUMJF-UHFFFAOYSA-N,100.16,1,0,3,1.62
CCCC(C)C=O,FTZILAQGHINQQR-UHFFFAOYSA-N,100.16,1,0,3,1.62
CC1(C)CCC1C=O,CZVFDHQYEFYJRH-UHFFFAOYSA-N,112.17,1,0,1,1.62
O=Cc1ccc(-c2ccccc2)cc1,ISDBWOPVZKNQDW-UHFFFAOYSA-N,182.22,1,0,2,3.17
O=Cc1ccc(-c2ccccn2)cc1,NMLYGLCBSFKJFI-UHFFFAOYSA-N,183.21,2,0,2,2.56
O=CC1CC1,JMYVMOUINOAAPA-UHFFFAOYSA-N,70.09,1,0,1,0.6
CC1CCC1C=O,UUZLIVUPHVEWFI-UHFFFAOYSA-N,98.14,1,0,1,1.23
