SMILES,inchi_key,MolWt,NumHAcceptors,NumHDonors,NumRotatableBonds,MolLogP
c1ccc2c(c1)CCNC2,UWYZHKAOTLEWKK-UHFFFAOYSA-N,133.19,1,1,0,1.33
NCc1ccco1,DDRPCXLAQZKBJP-UHFFFAOYSA-N,97.12,2,1,1,0.74
CNCc1ccccc1,RIWRFSMVIUAEBX-UHFFFAOYSA-N,121.18,1,1,2,1.41
COc1cc2c(cc1OC)CNCC2,CEIXWJHURKEBMQ-UHFFFAOYSA-N,193.25,3,1,2,1.35
NCc1ccc2c(c1)OCO2,ZILSBZLQGRBMOR-UHFFFAOYSA-N,151.16,3,1,1,0.87
NCc1ccc2cc(O)ccc2c1,SNMYVOUKVPUKIJ-UHFFFAOYSA-N,173.21,2,2,1,2.0
Cc1cc2cc(CN)ccc2[nH]c1=O,ACWUXEQESIQIJB-UHFFFAOYSA-N,188.23,2,2,1,1.3
NCc1ccc2occc2c1,OFMIMSPBHXZKRI-UHFFFAOYSA-N,147.18,2,1,1,1.89
NCc1ccc2oc3ccccc3c2c1,FSYOVMXQRWIDBE-UHFFFAOYSA-N,197.24,2,1,1,3.04
NCc1ccc2[nH]ccc2c1,UAYYSAPJTRVEQA-UHFFFAOYSA-N,146.19,1,2,1,1.63
Cc1cc2cc(CN)ccc2[nH]1,OZQPOLJBMYZUOL-UHFFFAOYSA-N,160.22,1,2,1,1.94
NCc1ccc2[nH]c3ccccc3c2c1,AYZJZUJDZLZKJJ-UHFFFAOYSA-N,196.25,1,2,1,2.78
NCc1ccn2nccc2c1,VERDPKDNJSDFTB-UHFFFAOYSA-N,147.18,3,1,1,0.79
NCc1ccn2cccc2c1,FFKGLWUUHCDQEW-UHFFFAOYSA-N,146.19,2,1,1,1.4
NCc1ccc2cc[nH]c2c1,FURRUNQWZZOXOT-UHFFFAOYSA-N,146.19,1,2,1,1.63
O=C1CNCc2ccccc21,WPZUNTXIHOUGEN-UHFFFAOYSA-N,147.18,2,1,0,0.97
OC1CNCc2ccccc21,HTHIHJJKFYXSOQ-UHFFFAOYSA-N,149.19,2,2,0,0.82
Oc1ccc2c(c1)CCNC2,SCMZIFSYPJICCV-UHFFFAOYSA-N,149.19,2,2,0,1.04
Oc1ccc2c(c1)CNCC2,RADQTHXRZJGDQI-UHFFFAOYSA-N,149.19,2,2,0,1.04
Oc1cccc2c1CCNC2,OMZHCCXUVSEGAD-UHFFFAOYSA-N,149.19,2,2,0,1.04
NCc1cccs1,FKKJJPMGAWGYPN-UHFFFAOYSA-N,113.18,2,1,1,1.21
c1ccc(CNCc2ccccc2)cc1,BWLUMTFWVZZZND-UHFFFAOYSA-N,197.28,1,1,4,2.98
